id,Dia,Manera_de_la_muerte,Arma,Edad,Genero,Raza,Ciudad,Estado,Signos_de_enfermedades_mentales,Nivel_de_amenaza,flee,Categoria_de_armas
3110,2017-11-07,shot,gun,35.0,M,Black,Las Vegas,NV,False,attack,Not fleeing,Guns
3113,2017-11-08,shot,gun,30.0,M,White,Forest Park,GA,False,attack,Car,Guns
3114,2017-11-08,shot,gun,32.0,M,White,Clinton,TN,False,attack,Foot,Guns
3115,2017-11-08,shot,gun,31.0,M,White,Roanoke,VA,False,other,Not fleeing,Guns
3117,2017-11-08,shot,knife,14.0,M,Native,Odanah,WI,False,other,Not fleeing,Sharp objects
3118,2017-11-09,shot,gun,25.0,M,Black,Salisbury,NC,False,attack,Car,Guns
3119,2017-11-09,shot,unknown,32.0,M,White,Providence,RI,False,attack,Car,Unknown
3120,2017-11-09,shot,gun,35.0,M,White,Neshoba County,MS,True,attack,Not fleeing,Guns
3127,2017-11-09,shot,gun,27.0,M,White,Flatwoods,KY,False,other,Car,Guns
3128,2017-11-09,shot,unarmed,23.0,F,White,Flatwoods,KY,False,other,Car,Unarmed
3125,2017-11-10,shot,gun,55.0,M,White,Gibson,LA,True,attack,Not fleeing,Guns
3126,2017-11-10,shot,knife,43.0,M,Black,Phoenix,AZ,False,attack,Not fleeing,Sharp objects
3129,2017-11-10,shot,gun,62.0,M,White,Crystal,MN,True,attack,Not fleeing,Guns
3130,2017-11-10,shot,gun,25.0,M,Black,Denver,CO,False,other,Foot,Guns
3131,2017-11-10,shot,unknown,37.11793090137039,M,Black,Hinds County,MS,False,other,Not fleeing,Unknown
3133,2017-11-10,shot,gun,50.0,M,White,Albuquerque,NM,False,attack,Not fleeing,Guns
3122,2017-11-11,shot,gun,19.0,M,White,Dakota City,IA,True,attack,Other,Guns
3123,2017-11-11,shot,gun,41.0,M,Black,Las Vegas,NV,False,attack,Not fleeing,Guns
3132,2017-11-11,shot,gun,55.0,M,White,St. Tammany Parish,LA,False,attack,Not fleeing,Guns
3121,2017-11-12,shot,unknown,19.0,M,Hispanic,Fall River,MA,False,other,Car,Unknown
3134,2017-11-13,shot,knife,67.0,M,Black,Tremont,NY,True,attack,Not fleeing,Sharp objects
3135,2017-11-13,shot,unarmed,24.0,M,Black,Baton Rouge,LA,False,attack,Foot,Unarmed
3137,2017-11-14,shot,gun,44.0,M,White,Rancho Tehama Reserve,CA,True,undetermined,Other,Guns
3139,2017-11-15,shot,unarmed,29.0,M,Asian,Oklahoma City,OK,True,other,Not fleeing,Unarmed
3141,2017-11-15,shot,gun,48.0,M,White,Anchorage,AK,False,attack,Car,Guns
3142,2017-11-15,shot,gun,22.0,M,Hispanic,Van Nuys,CA,False,attack,Car,Guns
3143,2017-11-15,shot,knife,37.11793090137039,M,Black,Jackson,MS,False,other,Not fleeing,Sharp objects
3144,2017-11-15,shot,gun,59.0,M,White,Elmira,NY,True,attack,Not fleeing,Guns
3207,2017-11-16,shot,gun,68.0,M,Black,Cedar Lake,TX,False,attack,Not fleeing,Guns
3145,2017-11-17,shot,unarmed,25.0,M,White,Albuquerque,NM,False,other,Car,Unarmed
3146,2017-11-17,shot,unarmed,23.0,M,Hispanic,Albuquerque,NM,False,other,Car,Unarmed
3152,2017-11-17,shot,gun,46.0,M,Black,West Monroe,LA,False,attack,Not fleeing,Guns
3167,2017-11-17,shot,unarmed,25.0,M,White,Fairfax,VA,False,undetermined,Car,Unarmed
3208,2017-11-17,shot,gun,30.0,M,White,Charleston,WV,False,attack,Not fleeing,Guns
3149,2017-11-18,shot,unarmed,56.0,M,Black,Prichard,AL,False,other,Car,Unarmed
3150,2017-11-18,shot,unknown,24.0,M,Native,Billings,MT,False,attack,Car,Unknown
3151,2017-11-18,shot,unknown,18.0,M,White,Warren County,KY,False,attack,Car,Unknown
3148,2017-11-19,shot,gun,27.0,M,White,Greenville County,SC,False,attack,Car,Guns
3153,2017-11-19,shot,gun,26.0,M,White,Davenport,IA,False,attack,Not fleeing,Guns
3154,2017-11-20,shot,knife,15.0,M,White,Gulfport,MS,False,undetermined,Not fleeing,Sharp objects
3155,2017-11-23,shot,gun,26.0,M,Hispanic,Klamath Falls,OR,False,other,Foot,Guns
